Arachnothera crassirostris_Naskalilukkinen
Arachnothera everetti_Borneonharmaalukkinen
Arachnothera flavigaster_Rillilukkinen
Arachnothera longirostra_Tarhalukkinen
Arachnothera magna_Viirulukkinen
Aramides albiventris_Rsset-naped Wood-Rail
Aramides axillaris_Kastanjamangrovekana
Aramides cajaneus_Mölymangrovekana
Aramides saracura_Parananmangrovekana
Aramides wolfi_Ruskomangrovekana
Aramides ypecaha_Isomangrovekana
Aramus guarauna_kotilokurki
Aratinga auricapillus_Kruunuaratti
Aratinga jandaya_Palmuaratti
Aratinga nenday_Huppuaratti
Aratinga weddellii_Harmaapääaratti
Arborophila ardens_Hainaninpyy
Arborophila atrogularis_Valkoposkipyy
Arborophila brunneopectus_Bar-backed Partridge
Arborophila campbelli_Malesianviidakkopyy
Arborophila chloropus_Saly-breasted Partridge
Arborophila crudigularis_Taiwaninpyy
Arborophila hyperythra_Borneonpyy
Arborophila javanica_Jaavanpyy
Arborophila mandellii_Punarintapyy
Arborophila orientalis_Vuoriviidakkopyy
Arborophila rufogularis_Ruskokurkkupyy
Arborophila torqueola_Viidakkopyy
Arcanator orostruthus_Bulbulirastas
Archilochus alexandri_Mustakurkkukolibri
Archilochus colubris_Rubiinikurkkukolibri
Ardea alba_jalohaikara
Ardea cinerea_harmaahaikara
Ardea cocoi_eteläamerikanhaikara
Ardea herodias_amerikanharmaahaikara
Ardea intermedia_pikkujalohaikara
Ardea melanocephala_kobolttihaikara
Ardea purpurea_ruskohaikara
Ardea sumatrana_paksunokkahaikara
Ardenna bulleri_Juovasiipiliitäjä
Ardenna carneipes_Sysiliitäjä
Ardenna creatopus_Chilenliitäjä
Ardenna grisea_nokiliitäjä
Ardenna pacifica_Suippopyrstöliitäjä
Ardenna tenuirostris_Lyhytpyrstöliitäjä
Ardeola bacchus_kiinanriisihaikara
Ardeola grayii_intianriisihaikara
Ardeola ralloides_rääkkähaikara
Ardeola speciosa_jaavanriisihaikara
Arenaria interpres_karikukko
Arenaria melanocephala_alaskankarikukko
Argusianus argus_argusfasaani
Argya affinis_Yellow-billed Babbler
Argya caudata_Pensastimali
Argya earlei_Striated Babbler
Argya malcolmi_Large Gray Babbler
Argya striata_Jungle Babbler
Argya subrufa_Rufous Babbler
Arizelocichla chlorigula_Masaibulbuli
Arizelocichla masukuensis_Savannibulbuli
Arizelocichla milanjensis_Raitaposkibulbuli
Arizelocichla nigriceps_Vuoribulbuli
Arremon abeillei_Ecuadorinnaamiosirkku
Arremon assimilis_Lyijyjuovasirkku
Arremon atricapillus_Mustahuppusirkku
Arremon aurantiirostris_Punanokkasirkku
Arremon basilicus_Santamartanjuovasirkku
Arremon brunneinucha_Ruskoniskasirkku
Arremon castaneiceps_Tuhkanaamasirkkunen
Arremon costaricensis_Costaricanjuovasirkku
Arremon crassirostris_Nokinaamasirkkunen
Arremon flavirostris_Pensasnaamiosirkku
Arremon franciscanus_Caatingasirkku
Arremon perijanus_Perija Brushfinch
Arremon schlegeli_Kultaselkäsirkku
Arremon semitorquatus_Täplänaamiosirkku
Arremon taciturnus_Naamiosirkku
Arremon torquatus_Harmaajuovasirkku
Arremon virenticeps_Viherjuovasirkku
Arremonops chloronotus_Viherselkäsirkku
Arremonops conirostris_Isoviirusirkku
Arremonops rufivirgatus_Viirupääsirkku
Arremonops tocuyensis_Pikkuviirusirkku
Arses telescopthalmus_Röyhelömonarkki
Artamus cinereus_Tuhkaleiju
Artamus cyanopterus_Ruskoleiju
Artamus fuscus_Nokileiju
Artamus leucorynchus_Pääskyleiju
Artamus maximus_Papuanleiju
Artamus personatus_Naamioleiju
Artamus superciliosus_Ruskovatsaleiju
Artemisiospiza belli_Marunasirkku
Artemisiospiza nevadensis_Isomarunasirkku
Artisornis metopias_Tansanianräätäli
Artisornis moreaui_Metsäräätäli
Arundinax aedon_paksunokkakerttunen
Arundinicola leucocephala_Valkohuppunapsu
Asemospiza fuliginosa_Nokisirkkunen
Asemospiza obscura_Peltosirkkunen
Asio clamator_Sriped Owl
Asio flammeus_suopöllö
Asio grammicus_Jamaican Owl
Asio otus_sarvipöllö
Asio stygius_Tummasarvipöllö
Aspatha gularis_Sinikurkkumomotti
Asthenes anthoides_Chilenkanastero
Asthenes arequipae_Drk-winged Canastero
Asthenes baeri_Lyhytnokkakanastero
Asthenes coryi_Okrapiikkipyrstö
Asthenes dorbignyi_Punaperäkanastero
Asthenes flammulata_Viirukanastero
Asthenes fuliginosa_Ruskopiikkipyrstö
Asthenes griseomurina_Hiiripiikkipyrstö
Asthenes harterti_Bolivianpiikkipyrstö
Asthenes helleri_Punanpiikkipyrstö
Asthenes heterura_Isokanastero
Asthenes huancavelicae_Ple-tailed Canastero
Asthenes hudsoni_Suokanastero
Asthenes humilis_Streak-throated Canastero
Asthenes maculicauda_Viirupyrstökanastero
Asthenes modesta_Kolokanastero
Asthenes moreirae_Rionpiikkipyrstö
Asthenes ottonis_Ruosteotsakanastero
Asthenes palpebralis_Rillipiikkipyrstö
Asthenes perijana_Perijanpiikkipyrstö
Asthenes pudibunda_Kanjonikanastero
Asthenes pyrrholeuca_Purokanastero
Asthenes sclateri_Vuorikanastero
Asthenes urubambensis_Tummakanastero
Asthenes virgata_Pensaskanastero
Asthenes wyatti_Lakikanastero
Atalotriccus pilaris_Vaaleasilmätypäkkö
Atelornis crossleyi_Ruskomarhi
Atelornis pittoides_Pittamarhi
Athene blewitti_Hindustaninpöllö
Athene brama_Brahmanpöllö
Athene cunicularia_Preeriapöllö
Athene noctua_minervanpöllö
Athene superciliaris_Madagaskarinhaukkapöllö
Atimastillas flavicollis_Metsäbulbuli
Atlanticus testaceus_Protean Shieldback
Atlapetes albinucha_Valkoniskasirkku
Atlapetes albofrenatus_Valkoviiksisirkku
Atlapetes citrinellus_Yellow-striped Brushfinch
Atlapetes crassus_Keltajuovasirkku
Atlapetes flaviceps_Oliivipääsirkku
Atlapetes fulviceps_Punapääsirkku
Atlapetes fuscoolivaceus_Huilansirkku
Atlapetes latinuchus_Keltaviiksisirkku
Atlapetes leucopis_Rillisirkku
Atlapetes leucopterus_Pilkkasiipisirkku
Atlapetes melanocephalus_Santamartansirkku
Atlapetes melanolaemus_Mustanaamasirkku
Atlapetes pallidiceps_Azuaynsirkku
Atlapetes pallidinucha_Ruso-otsasirkku
Atlapetes personatus_Tepuisirkku
Atlapetes pileatus_Ruskolakkisirkku
Atlapetes rufigenis_Kastanjapääsirkku
Atlapetes rufinucha_Rusokruunusirkku
Atlapetes schistaceus_Harmaapensassirkku
Atlapetes seebohmi_Cajamarcansirkku
Atlapetes semirufus_Ruostepensassirkku
Atlapetes tibialis_Keltahoususirkku
Atlapetes tricolor_Keltakruunusirkku
Atrichornis clamosus_Isotiheikkölaulaja
Atrichornis rufescens_Tiheikkölaulaja
Attagis gayi_Lumiylänköjuoksija
Atthis ellioti_Wne-throated Hummingbird
Atthis heloisa_Bmblebee Hummingbird
Atticora fasciata_Valkovyöpääsky
Atticora pileata_Back-capped Swallow
Atticora tibialis_Wite-thighed Swallow
Attila bolivianus_Valkosilmäattila
Attila cinnamomeus_Kaneliattila
