Aramides axillaris_chřástal rezavokrký
Aramides cajaneus_chřástal šedokrký
Aramides saracura_chřástal sarakura
Aramides wolfi_chřástal hnědý
Aramides ypecaha_chřástal ypecaha
Aramus guarauna_kurlan chřástalovitý
Aratinga auricapillus_Aeratinga zlatohlavý
Aratinga jandaya_Aeratinga jandaj
Aratinga nenday_aratinga černohlavý
Aratinga weddellii_Aeratinga tmavohlavý
Arborophila ardens_Keoroptev hainanská
Arborophila atrogularis_koroptev bělolící
Arborophila brunneopectus_koroptev pruhokřídlá
Arborophila campbelli_Malaysian Partridge
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_koroptev tchajwanská
Arborophila hyperythra_koroptev bornejská
Arborophila javanica_koroptev jávská
Arborophila mandellii_koroptev kaštanovoprsá
Arborophila orientalis_Keoroptev sumaterská
Arborophila rufogularis_koroptev oranžovohrdlá
Arborophila torqueola_koroptev himálajská
Arcanator orostruthus_Seojčík proužkobřichý
Archilochus alexandri_kalypta černobradá
Archilochus colubris_kalypta rubínohrdlá
Ardea alba_volavka bílá
Ardea cinerea_volavka popelavá
Ardea cocoi_volavka jihoamerická
Ardea herodias_volavka velká
Ardea intermedia_volavka prostřední
Ardea melanocephala_volavka africká
Ardea purpurea_volavka červená
Ardea sumatrana_volavka šedohnědá
Ardenna bulleri_buřňák šedohřbetý
Ardenna carneipes_buřňák světlonohý
Ardenna creatopus_buřňák růžovonohý
Ardenna grisea_buřňák temný
Ardenna pacifica_buřňák klínoocasý
Ardenna tenuirostris_buřňák tenkozobý
Ardeola bacchus_volavka čínská
Ardeola grayii_volavka hnědohřbetá
Ardeola ralloides_volavka vlasatá
Ardeola speciosa_volavka nádherná
Arenaria interpres_kamenáček pestrý
Arenaria melanocephala_kamenáček černohlavý
Argusianus argus_argus okatý
Argya affinis_Yellow-billed Babbler
Argya caudata_argie dlouhoocasá
Argya earlei_Striated Babbler
Argya malcolmi_Large Gray Babbler
Argya striata_Jungle Babbler
Argya subrufa_Rufous Babbler
Arizelocichla chlorigula_Yellow-throated Mountain Greenbul
Arizelocichla masukuensis_Shelley's Greenbul
Arizelocichla milanjensis_Stripe-cheeked Greenbul
Arizelocichla nigriceps_Eastern Mountain Greenbul
Arremon abeillei_Heabije černotemenná
Arremon assimilis_Gray-browed Brushfinch
Arremon atricapillus_Peipilo černočapkový
Arremon aurantiirostris_Heabije oranžovozobá
Arremon basilicus_Sierra Nevada Brushfinch
Arremon brunneinucha_Peipilo kaštanovotýlý
Arremon castaneiceps_Setrnádek olivový
Arremon costaricensis_Costa Rican Brushfinch
Arremon crassirostris_Setrnádek tlustozobý
Arremon flavirostris_Heabije šafránová
Arremon franciscanus_Heabije bahijská
Arremon perijanus_Perija Brushfinch
Arremon schlegeli_Heabije zlatoramenná
Arremon semitorquatus_Heabije brazilská
Arremon taciturnus_Heabije pruhoprsá
Arremon torquatus_Peipilo pruhohlavý
Arremon virenticeps_Peipilo zelenopruhý
Arremonops chloronotus_Heabije zelenohřbetá
Arremonops conirostris_Heabije černopásá
Arremonops rufivirgatus_Heabije olivová
Arremonops tocuyensis_Heabije tokuánská
Arses telescopthalmus_Meuchálek ozdobný
Artamus cinereus_Leasolet černolící
Artamus cyanopterus_Leasolet lesní
Artamus fuscus_Leasolet šedohlavý
